Component_ID,Device_Count,Device_List,Confidence_Tags,Val_Cooccur_Status,Val_Cooccur_Count,Val_Composite_Status,Val_Composite_Ratio,Val_Reinforce_Score,Evid_Cooccur_Clusters,Evid_Composite_Subs,Evid_Reinforce_Detail,Info_Reinforce_Matched,Info_Reinforce_Total,vendor_state,vendor_detail,device_type_state,device_type_detail,Device,Unnamed: 8,device_vendor,device_type,Remote_IP,Remote_Port,Protocol,Domain_A,Domain_PTR,Remote_domain_best,Sequence_Up,Sequence_Down,Original_Index,Service_Orig,Infra_Orig,Service_Norm,Infra_Norm,Service_Evidence,Infra_Evidence,Is_Strict_Implicit,Consistent_Layers,Cluster_Val_IP,Cluster_Val_Service,Cluster_Val_Infra,Num_Flows,Num_Devices,Num_Vendors
Comp_00875,9,"Aqara Camera_selfdata,Aqara Plug_selfdata,Luohe Spycamera_Mon(us),Sonoff Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomao Camera_selfdata,Xiaomi Camera3_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",None,False,1.0,False,0.6666666666666666,0.2777777777777778,,0.0,IP:110.43.0.83(4devs) | IP:42.157.165.161(3devs) | Service:xiaomi10.p2psy2.mijia.tech(3devs) | IP:110.43.39.72(3devs) | Service:xiaomi10.p2psy3.mijia.tech(3devs),10.0,36.0,1,"3Xiaomi,2Aqara,1Luohe,1Sonoff,1Xiaobai,1Xiaomao",1,"7Camera,1Plug,1Speaker",Sonoff Camera_selfdata,1,sonoff,Camera,52.80.121.162,,UDP,,ec2-52-80-121-162.cn-north-1.compute.amazonaws.com.cn,ec2-52-80-121-162.cn-north-1.compute.amazonaws.com.cn,"[46.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]","[62.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0, 54.0]",10060,,ec2-52-80-121-162.cn-north-1.compute.amazonaws.com.cn,,ec2-52-80-121-162.cn-north-1.compute.amazonaws.com.cn,,,False,,,,,9,9,6
Comp_00875,9,"Aqara Camera_selfdata,Aqara Plug_selfdata,Luohe Spycamera_Mon(us),Sonoff Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomao Camera_selfdata,Xiaomi Camera3_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",None,False,1.0,False,0.6666666666666666,0.2777777777777778,,0.0,IP:110.43.0.83(4devs) | IP:42.157.165.161(3devs) | Service:xiaomi10.p2psy2.mijia.tech(3devs) | IP:110.43.39.72(3devs) | Service:xiaomi10.p2psy3.mijia.tech(3devs),10.0,36.0,1,"3Xiaomi,2Aqara,1Luohe,1Sonoff,1Xiaobai,1Xiaomao",1,"7Camera,1Plug,1Speaker",Xiaomi Camera3_selfdata,1,xiaomi,Camera,110.43.68.95,,UDP,,,,"[46.0, 90.0, 90.0, 90.0, 90.0]","[62.0, 54.0, 54.0, 54.0, 54.0]",10080,,,,,,,False,,,,,9,9,6
Comp_00875,9,"Aqara Camera_selfdata,Aqara Plug_selfdata,Luohe Spycamera_Mon(us),Sonoff Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomao Camera_selfdata,Xiaomi Camera3_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",None,False,1.0,False,0.6666666666666666,0.2777777777777778,,0.0,IP:110.43.0.83(4devs) | IP:42.157.165.161(3devs) | Service:xiaomi10.p2psy2.mijia.tech(3devs) | IP:110.43.39.72(3devs) | Service:xiaomi10.p2psy3.mijia.tech(3devs),10.0,36.0,1,"3Xiaomi,2Aqara,1Luohe,1Sonoff,1Xiaobai,1Xiaomao",1,"7Camera,1Plug,1Speaker",Xiaobai Y2camera_selfdata,1,xiaobai,Camera,110.43.68.16,,UDP,,,,"[46.0, 90.0, 90.0, 90.0, 90.0]","[62.0, 54.0, 54.0, 54.0, 54.0]",10711,,,,,,,False,,,,,9,9,6
Comp_00875,9,"Aqara Camera_selfdata,Aqara Plug_selfdata,Luohe Spycamera_Mon(us),Sonoff Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomao Camera_selfdata,Xiaomi Camera3_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",None,False,1.0,False,0.6666666666666666,0.2777777777777778,,0.0,IP:110.43.0.83(4devs) | IP:42.157.165.161(3devs) | Service:xiaomi10.p2psy2.mijia.tech(3devs) | IP:110.43.39.72(3devs) | Service:xiaomi10.p2psy3.mijia.tech(3devs),10.0,36.0,1,"3Xiaomi,2Aqara,1Luohe,1Sonoff,1Xiaobai,1Xiaomao",1,"7Camera,1Plug,1Speaker",Xiaomao Camera_selfdata,1,xiaomao,Camera,110.43.68.95,,UDP,,,,"[46.0, 90.0, 90.0, 90.0, 90.0]","[62.0, 54.0, 54.0, 54.0, 54.0]",11402,,,,,,,False,,,,,9,9,6
Comp_00875,9,"Aqara Camera_selfdata,Aqara Plug_selfdata,Luohe Spycamera_Mon(us),Sonoff Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomao Camera_selfdata,Xiaomi Camera3_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",None,False,1.0,False,0.6666666666666666,0.2777777777777778,,0.0,IP:110.43.0.83(4devs) | IP:42.157.165.161(3devs) | Service:xiaomi10.p2psy2.mijia.tech(3devs) | IP:110.43.39.72(3devs) | Service:xiaomi10.p2psy3.mijia.tech(3devs),10.0,36.0,1,"3Xiaomi,2Aqara,1Luohe,1Sonoff,1Xiaobai,1Xiaomao",1,"7Camera,1Plug,1Speaker",Xiaomi Camera_selfdata,1,xiaomi,Camera,110.43.39.193,,UDP,xiaomi9.p2psy2.io.mi.com,,xiaomi9.p2psy2.io.mi.com,"[46.0, 90.0, 90.0, 90.0, 90.0]","[62.0, 54.0, 54.0, 54.0, 54.0]",11627,xiaomi9.p2psy2.io.mi.com,,xiaomi9.p2psy2.io.mi.com,,xiaomi9.p2psy2.io.mi.com,,False,,,,,9,9,6
Comp_00875,9,"Aqara Camera_selfdata,Aqara Plug_selfdata,Luohe Spycamera_Mon(us),Sonoff Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomao Camera_selfdata,Xiaomi Camera3_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",None,False,1.0,False,0.6666666666666666,0.2777777777777778,,0.0,IP:110.43.0.83(4devs) | IP:42.157.165.161(3devs) | Service:xiaomi10.p2psy2.mijia.tech(3devs) | IP:110.43.39.72(3devs) | Service:xiaomi10.p2psy3.mijia.tech(3devs),10.0,36.0,1,"3Xiaomi,2Aqara,1Luohe,1Sonoff,1Xiaobai,1Xiaomao",1,"7Camera,1Plug,1Speaker",Aqara Plug_selfdata,1,aqara,Plug,81.70.93.141,,UDP,,,,"[46.0, 90.0, 90.0, 90.0, 90.0]","[62.0, 54.0, 54.0, 54.0, 54.0]",21134,,,,,,,False,,,,,9,9,6
Comp_00875,9,"Aqara Camera_selfdata,Aqara Plug_selfdata,Luohe Spycamera_Mon(us),Sonoff Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomao Camera_selfdata,Xiaomi Camera3_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",None,False,1.0,False,0.6666666666666666,0.2777777777777778,,0.0,IP:110.43.0.83(4devs) | IP:42.157.165.161(3devs) | Service:xiaomi10.p2psy2.mijia.tech(3devs) | IP:110.43.39.72(3devs) | Service:xiaomi10.p2psy3.mijia.tech(3devs),10.0,36.0,1,"3Xiaomi,2Aqara,1Luohe,1Sonoff,1Xiaobai,1Xiaomao",1,"7Camera,1Plug,1Speaker",Aqara Camera_selfdata,1,aqara,Camera,81.70.93.141,,UDP,,,,"[46.0, 90.0, 90.0, 90.0, 90.0]","[62.0, 54.0, 54.0, 54.0, 54.0]",21140,,,,,,,False,,,,,9,9,6
Comp_00875,9,"Aqara Camera_selfdata,Aqara Plug_selfdata,Luohe Spycamera_Mon(us),Sonoff Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomao Camera_selfdata,Xiaomi Camera3_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",None,False,1.0,False,0.6666666666666666,0.2777777777777778,,0.0,IP:110.43.0.83(4devs) | IP:42.157.165.161(3devs) | Service:xiaomi10.p2psy2.mijia.tech(3devs) | IP:110.43.39.72(3devs) | Service:xiaomi10.p2psy3.mijia.tech(3devs),10.0,36.0,1,"3Xiaomi,2Aqara,1Luohe,1Sonoff,1Xiaobai,1Xiaomao",1,"7Camera,1Plug,1Speaker",Luohe Spycamera_Mon(us),1,luohe,Camera,54.186.48.247,,UDP,,ec2-54-186-48-247.us-west-2.compute.amazonaws.com,ec2-54-186-48-247.us-west-2.compute.amazonaws.com,"[46.0, 90.0, 90.0, 90.0, 90.0]","[62.0, 54.0, 54.0, 54.0, 54.0]",34634,,ec2-54-186-48-247.us-west-2.compute.amazonaws.com,,ec2-54-186-48-247.us-west-2.compute.amazonaws.com,,,False,,,,,9,9,6
Comp_00875,9,"Aqara Camera_selfdata,Aqara Plug_selfdata,Luohe Spycamera_Mon(us),Sonoff Camera_selfdata,Xiaobai Y2camera_selfdata,Xiaomao Camera_selfdata,Xiaomi Camera3_selfdata,Xiaomi Camera_selfdata,xiaomitv_speaker",None,False,1.0,False,0.6666666666666666,0.2777777777777778,,0.0,IP:110.43.0.83(4devs) | IP:42.157.165.161(3devs) | Service:xiaomi10.p2psy2.mijia.tech(3devs) | IP:110.43.39.72(3devs) | Service:xiaomi10.p2psy3.mijia.tech(3devs),10.0,36.0,1,"3Xiaomi,2Aqara,1Luohe,1Sonoff,1Xiaobai,1Xiaomao",1,"7Camera,1Plug,1Speaker",xiaomitv_speaker,1,xiaomi,Speaker,110.43.68.95,,UDP,,,,"[46.0, 90.0, 90.0, 90.0, 90.0]","[62.0, 54.0, 54.0, 54.0, 54.0]",36896,,,,,,,False,,,,,9,9,6
Comp_00861,7,"Aqara Camera_selfdata,Aqara Plug_selfdata,Xiaobai Y2camera_selfdata,Xiaomao Camera_selfdata,Xiaomi Camera_selfdata,qianniao_camera,xiaomitv_speaker",Cooccur,True,2.0,False,0.8571428571428571,0.3333333333333333,Comp_00874,0.0,IP:110.43.0.83(4devs) | IP:111.202.0.48(3devs) | Service:business.smartcamera.api.io.mi.com(3devs) | IP:42.157.163.119(2devs) | IP:120.92.65.240(2devs),7.0,21.0,1,"2Aqara,2Xiaomi,1Xiaobai,1Xiaomao,1qianniao",1,"5Camera,1Plug,1Speaker",Xiaobai Y2camera_selfdata,1,xiaobai,Camera,110.43.68.16,,UDP,,,,"[46.0, 90.0, 90.0, 90.0, 90.0, 130.0]","[62.0, 54.0, 54.0, 54.0, 54.0, 62.0, 62.0, 62.0, 62.0]",10707,,,,,,,False,,,,,7,7,5
