Layer,Target,Num_Devices,Device_List,Num_Vendors,Vendors,Is_Implicit,FlowUID_Count,FlowSet_Hash,Dedup_Group_ID,Dedup_Group_Size
IP,54.231.185.20,2,August Doorbell Camera_YT|D-Link Water Sensor_IoT-Sentinel,2,august|d-link,TRUE,2,9c85e82756e8e883164c07764b70470384b55787,SET_000527,1
IP,54.231.176.228,2,August Doorbell Camera_YT|D-Link Sensor_IoT-Sentinel,2,august|d-link,TRUE,2,4105c522e163a50a9abfbb642bd801ff36d95210,SET_000528,1
IP,52.84.133.131,2,August Doorbell Camera_YT|Bose Sound Touch10_YT,2,august|bose,TRUE,2,e0ac12b5f3b6931b819c19cacadb53b294be85df,SET_000529,1
IP,54.231.168.180,2,August Doorbell Camera_YT|D-Link Siren_IoT-Sentinel,2,august|d-link,TRUE,2,24ac4a4cf37822faf0d9c2231845c249ae4722b2,SET_000530,1
IP,54.231.168.216,2,August Doorbell Camera_YT|D-Link Water Sensor_IoT-Sentinel,2,august|d-link,TRUE,2,a08de0a86de021ea0a29c59d4fcbc7a105302466,SET_000531,1
IP,54.231.184.216,2,August Doorbell Camera_YT|D-Link Switch_IoT-Sentinel,2,august|d-link,TRUE,4,7ec02c0fefc20d659188c6ce176acb39f1ca1c67,SET_000532,1
IP,54.231.177.60,2,August Doorbell Camera_YT|D-Link Water Sensor_IoT-Sentinel,2,august|d-link,TRUE,4,09080b1fee463bde5195554584e32382c908334b,SET_000533,1
IP,52.53.41.7,2,Bosiwo Camera Wired_Mon(uk)|Lefun Camera Wired_Mon(us),2,bosiwo|lefun,TRUE,5,e3c4720ffb2f80de4e401b2d87e9a8900e645618,SET_000534,1
IP,182.118.46.83,2,Cubetoou Camera_selfdata|Honorxiaotun Camera_selfdata,2,cubetoou|honorxiaotun,TRUE,3,2e9fc434e6134759aa20634bd793931d5f32ed2f,SET_000535,1
IP,111.48.126.28,2,Cubetoou Camera_selfdata|Honorxiaotun Camera_selfdata,2,cubetoou|honorxiaotun,TRUE,19,07a38b4b0f67c6b884fc219cdc7bccf66d488f8b,SET_000536,1
IP,116.207.99.5,2,Cubetoou Camera_selfdata|Honorxiaotun Camera_selfdata,2,cubetoou|honorxiaotun,TRUE,16,d3701c10e8a14e816237801d0eb8e86467aa782c,SET_000537,1
IP,101.43.178.162,2,Cubetoou Camera_selfdata|Honorxiaotun Camera_selfdata,2,cubetoou|honorxiaotun,TRUE,5,2c17f95d79ee49803c33595361166bfb612dfd1c,SET_000538,1
IP,123.6.106.235,2,Cubetoou Camera_selfdata|Honorxiaotun Camera_selfdata,2,cubetoou|honorxiaotun,TRUE,4,c110e7a8e884464dc3ddd507cbf7d5fcc70a5dec,SET_000539,1
IP,111.7.106.43,2,Cubetoou Camera_selfdata|Honorxiaotun Camera_selfdata,2,cubetoou|honorxiaotun,TRUE,3,e8253c8881fe4302330c65ca3576a1042299f9ad,SET_000540,1
IP,50.7.114.59,2,Fos Camera_Our2|Insteon Camera_UNSW,2,foscam|insteon,TRUE,30,a04abfcba35c28313e1b636b2604eb801b0c869a,SET_000541,1
IP,40.122.162.208,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,288,1684b95422ff64954806665cef07ba67c763fa7c,SET_000542,1
IP,13.107.21.200,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,402,8ed3c109cac6b83c390e9a57afc9e752195a35d6,SET_000543,1
IP,120.232.51.95,2,Govee Sensor_selfdata|Lecheng Camera_selfdata,2,govee|lecheng,TRUE,3,ee450796d8ec3b383a0ee700ad7e9d32287d2da1,SET_000544,1
IP,13.107.3.128,3,Harmon Kardon Invoke_YT|Invoke_IoTLS|Invoke_Mon(us),2,harman kardon|unknown,TRUE,50,a28afa0ebea11f33e285c57e51c1d3be2c993dcd,SET_000545,2
IP,212.64.129.40,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,31,e4cb967b9dfa360b54d9bbef31b197bbba926ad9,SET_000546,2
IP,40.68.243.204,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,13,3b2752cf4bb469e41f52e8c423c2142e1f04ccc4,SET_000547,2
IP,40.84.43.40,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,39,eaac19a9418ed4468f2543ba53f76811a013339c,SET_000548,2
IP,23.101.156.198,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,8,d49472b60d9d46c0c34cd7c05d24d1a450bca66c,SET_000549,2
IP,13.92.138.127,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,48,6159ac28d2e8afb263de6675e06db3b66973b9a2,SET_000550,1
IP,42.81.212.159,2,Huawei Sound_selfdata|Lecheng Camera_selfdata,2,huawei|lecheng,TRUE,12,e9482d0aaf679792409a044fd4f6cf575e79b259,SET_000551,1
IP,42.81.212.158,2,Huawei Sound_selfdata|Lecheng Camera_selfdata,2,huawei|lecheng,TRUE,14,a2bfcb906daddddc92b2e4aaa55eb2218f61fb90,SET_000552,1
IP,42.81.212.151,2,Huawei Sound_selfdata|Lecheng Camera_selfdata,2,huawei|lecheng,TRUE,4,f128f2b0124e7e298d2ab9a9f20b4a86be54dc07,SET_000553,1
IP,42.81.212.157,2,Huawei Sound_selfdata|Lecheng Camera_selfdata,2,huawei|lecheng,TRUE,11,8a711b8581dfbf4626da98d41460f13c8b3b222d,SET_000554,1
IP,113.240.127.18,2,Huawei Camera_selfdata|qianniao_camera,2,huawei|qianniao,TRUE,27,ea9f4c13b815ca0eadd715e044cb23145f33d9f9,SET_000555,1
IP,183.2.198.133,2,Huawei Camera_selfdata|Lecheng Camera_selfdata,2,huawei|lecheng,TRUE,3,da35081faa188e0ef5647dafb919ad8c235a22ee,SET_000556,1
IP,39.156.66.14,2,Lenovo Camera_selfdata|Midea Speaker_selfdata,2,lenovo|midea,TRUE,406,e4def6e6113a71a53334cae9db0456be589b1f29,SET_000557,1
IP,220.181.38.150,2,Lenovo Camera_selfdata|Midea Speaker_selfdata,2,lenovo|midea,TRUE,15,2fde1d7648669cecafea54fba35c8d5123f393f0,SET_000558,1
IP,49.4.17.106,2,Lecheng Camera_selfdata|huawei_tv,2,huawei|lecheng,TRUE,17,a4f2088e96b05cffb3b57154d549410befb6eea0,SET_000559,1
IP,49.4.38.205,2,Lecheng Camera_selfdata|huawei_tv,2,huawei|lecheng,TRUE,38,48cf8eba8e5fd351a75dd1798e66e7dae0dc068f,SET_000560,1
IP,111.202.16.252,2,Lecheng Camera_selfdata|huawei_tv,2,huawei|lecheng,TRUE,212,babc804cdcc73f407a1e41e44bf9308bef099b50,SET_000561,1
IP,49.4.32.7,2,Lecheng Camera_selfdata|huawei_tv,2,huawei|lecheng,TRUE,3,cbc406a33842e793bfab69c3caf6ede04573be7a,SET_000562,1
IP,117.78.15.3,2,Lecheng Camera_selfdata|huawei_tv,2,huawei|lecheng,TRUE,12,a40c99ffa18fd6ebbb98ca7e7b4cf118889bb715,SET_000563,1
IP,111.202.16.57,2,Lecheng Camera_selfdata|huawei_tv,2,huawei|lecheng,TRUE,2,1349522fec972ef21bf95cbd4634c2fa34e45b68,SET_000564,1
Service,googleapis.l.google.com,6,Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_Mon(uk)|Google Home_YT|nVidia Shield_YT,2,google|nvidia,TRUE,1444,f2aa5195da3bcb473e621c6764c6ad7cd8b93fe9,SET_000565,1
Service,play.googleapis.com,2,Google Home Mini3_IoTLS|nVidia Shield_YT,2,google|nvidia,TRUE,4,f21dba85689a10adf19a2f042d346b842743e587,SET_000568,1
Service,android.l.google.com,4,Google Home Mini_Mon(uk)|Google Home Mini_YT|Google Home_YT|nVidia Shield_YT,2,google|nvidia,TRUE,66,d5b596a7993257f08b075c8481f2e45381e34389,SET_000569,1
Service,mqtt.wizconnected.cn,2,Philips Light_selfdata|Wiz Light_selfdata,2,philips|wiz,TRUE,15,94e3a0405daba9d93b3bada738e71322ba658046,SET_000571,1
Service,obs.lz01-br-inet.cn-east-3.myhuaweicloud.com,2,Konka Camera_selfdata|Qiaoan Camera_selfdata,2,konka|qiaoan,TRUE,128,955bf57562d0d8999b19b6d88dc56998d547c959,SET_000576,1
Service,api.us.xiaoyi.com,2,Roku TV_IoTLS|Yi Camera_Mon(us),2,roku|yi,TRUE,22,7146e16a90ace2128757608473be0ab7d5d554ca,SET_000168,2
Service,partnerad.l.doubleclick.net,5,Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,2,roku|samsung,TRUE,425,c3a1122e5cbe6bb529a80544a8f50fa2e113fc63,SET_000577,1
Service,pagead-googlehosted.l.google.com,4,Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,2,roku|samsung,TRUE,316,5caf9e3b81f55217b792a23060eff0c1a723cbfd,SET_000578,1
Service,api-global.netflix.com,4,Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,2,roku|samsung,TRUE,615,772e83c03efdb67bd9450d6375b213d68116a3c5,SET_000579,1
Service,uiboot.us-west-2.prodaa.netflix.com,3,Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,2,roku|samsung,TRUE,6,bf1cfdbd155fb92d765a0f7d595a16898744d7af,SET_000581,1
Service,e7226.g.akamaiedge.net,4,Roku TV_Mon(us)|Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,2,roku|samsung,TRUE,75,45148e807c3b347f7d0e5c1c643aa0ebd100fc3e,SET_000585,1
Service,ichnaea.us-west-2.prodaa.netflix.com,2,Roku TV_YT|Samsung Smart TV_YT,2,roku|samsung,TRUE,32,a0cf3b7111a452a190d09122186b56919297d63e,SET_000587,1
Service,occ-0-162-987.1.nflxso.net,3,Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,2,roku|samsung,TRUE,55,ca1ca92dcd2a7d676c42e0d56ac38076b27c0fc5,SET_000588,1
Service,api-global.us-west-2.prodaa.netflix.com,3,Roku TV_YT|Roku4_YT|Samsung Smart TV_YT,2,roku|samsung,TRUE,91,8b6dfc447c7fafda6825cf833a149cd9d30c60cd,SET_000589,1
Service,e13252.dscg.akamaiedge.net,2,LG Smart TV_Mon(us)|Roku TV_Mon(us),2,lg|roku,TRUE,4,5b9eaf2de4cf32586e92238d01fd1534e45f34c6,SET_000590,1
