Device_Name,Vendor
Ednet Cam2_IoT-Sentinel,Ednet
Flux Bulb_Mon(us),Flux
Fos Camera_Our2,Foscam
Google Home Mini_Mon(uk),Google
Google Home Mini_Mon(us),Google
Google Home Mini_YT,Google
Google Home Mini3_IoTLS,Google
Google Home_Mon(uk),Google
Google Home_YT,Google
Google On Hub_Our,Google
Google On Hub_YT,Google
Gosound Plug_selfdata,Gosound
Govee Sensor_selfdata,Govee
Greatwall Camera_selfdata,Greatwall
Haier Camera_selfdata,Haier
Harmon Kardon Invoke_YT,Harman Kardon
Home Matic Plug_IoT-Sentinel,Homematic
HoneyWell Thermostat_Mon(uk),HoneyWell
Hongyar Plug_selfdata,Hongyar
Honorxiaotun Camera_selfdata,Honorxiaotun
HP Printer_UNSW,HP
Huawei Camera_selfdata,Huawei
Huawei Sound_selfdata,Huawei
huawei_tv,Huawei
Huaweizhengtai Plug_selfdata,Huawei
Hue Bridge_IoT-Sentinel,Philips
Hue Switch_IoT-Sentinel,Philips
iHome_UNSW,iHome
Insteon Camera_UNSW,Insteon
Insteon Hub_Mon(uk),Insteon
Insteon Hub_Mon(us),Insteon
Insteon Hub_YT,Insteon
Invoke_IoTLS,Unknown
Invoke_Mon(us),Unknown
JD Camera_selfdata,JD
Jingxun Hub_selfdata,Jingxun
Konka Camera_selfdata,Konka
Koogeek Lightbulb_YT,Koogeek
Lecheng Camera_selfdata,Lecheng
Lecheng Doorbell_selfdata,Lecheng
Lefun Camera Wired_Mon(us),Lefun
Lenovo Camera_selfdata,Lenovo
LG Smart TV_IoTLS,LG
LG Smart TV_Mon(us),LG
LG Smart TV_Our,LG
LG Smart TV_Our2,LG
LiFX Bulb_UNSW,LiFX
LIFX Bulb_YT,LiFX
Lightify Hub_IoT-Sentinel,Lightify
Lightify Hub_Mon(uk),Lightify
Lightify Hub_Mon(us),Lightify
Logitech Harmony Hub_YT,Logitech
Logitech Logi Circle_YT,Logitech
Luohe Spycamera_Mon(us),Luohe
Magic Home Strip_Mon(uk),Home-assistant
Magic Home Strip_Mon(us),Home-assistant
MAX Gateway_IoT-Sentinel,Ubiquiti
Meian Hub_selfdata,Meian
Meross Dooropener_IoTLS,Meross
MiCasaVerde VeraLite_YT,Zwave
Microseven Camera_Mon(us),Microseven
Microwave_IoTLS,Unknown
Microwave_Mon(us),Unknown
Midea Light_selfdata,Midea
Midea Speaker_selfdata,Midea
midea_mirror,Midea
Mijia Humidifier_selfdata,Mijia
Mijia Lighthub_selfdata,Mijia
Mijia Plug_selfdata,Mijia
Mijia Plugtwo_selfdata,Mijia
Mingdou Hub_selfdata,Mingdou
Mingdou Plug_selfdata,Mingdou
Nest Camera_Our,Nest
Nest Camera_Our2,Nest
Nest Camera_YT,Nest
Nest CamIQ_YT,Nest
Nest Dropcam_UNSW,Nest
Nest Guard_YT,Nest
Nest Protect smoke alarm_UNSW,Nest
Nest Protect smoke alarm_YT,Nest
Nest Tstat_IoTLS,Nest
Nest Tstat_Mon(uk),Nest
Nest Tstat_Mon(us),Nest
Netatmo Weather Station_Mon(uk),Netatmo
Netatmo Weather Station_UNSW,Netatmo
Netatmo Welcome_UNSW,Netatmo
NetgearArlo Camera_YT,Arlo
nVidia Shield_YT,nVidia
Philips Bulb_Mon(us),Philips
